iri	label	type	definition	comment	example	domain_iris	range_iris	parent_iris
https://w3id.org/emi#hasSuperClass	has super class	http://www.w3.org/2002/07/owl#ObjectProperty			@prefix emi: <https://w3id.org/emi#> .\n@prefix : <https://w3id.org/emi/abox#> .\n@prefix npc: <https://w3id.org/emi/npc#> .\n:CANOPUS-mzspec%3AMSV000087728%3AVGF147_E06_features_ms2_neg.mgf%3Ascan%3A45 rdf:type emi:ChemicalTaxonAnnotation ;\n            emi:hasSuperClass npc:SESQUITERPENOIDS .		https://w3id.org/emi/npc#Superclass	
https://w3id.org/emi#hasSuperClassProbability	hasSuperClassProbability	http://www.w3.org/2002/07/owl#DatatypeProperty			"@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n:CANOPUS-mzspec%3AMSV000087728%3AVGF147_E06_features_ms2_neg.mgf%3Ascan%3A45 rdf:type emi:ChemicalTaxonAnnotation ;\n            emi:hasSuperClassProbability ""0.34501510858535767""^^xsd:double ."	https://w3id.org/emi#ChemicalTaxonAnnotation	http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#hasTarget	has target	http://www.w3.org/2002/07/owl#ObjectProperty		An interaction system has a source sample that interacts with a target one. emi:hasTarget should state the target of an interaction.		https://w3id.org/emi#Interaction	http://www.w3.org/ns/sosa/Sample	
https://w3id.org/emi#hasTaxoScore	has taxo score	http://www.w3.org/2002/07/owl#DatatypeProperty		An ISDB score.		https://w3id.org/emi#StructuralAnnotation	http://www.w3.org/2001/XMLSchema#integer	
https://w3id.org/emi#hasUSI	has universal spectrum identifier	http://www.w3.org/2002/07/owl#DatatypeProperty		The universal spectrum identifier provided by GNPS.	"@prefix emi: <https://w3id.org/emi#> .\n@prefix usi: <https://metabolomics-usi.ucsd.edu/dashinterface/?usi1=> .\nusi:mzspec%3AMSV000087728%3AVGF153_A02_features_ms2_neg.mgf%3Ascan%3A356 rdf:type emi:LCMSFeature ;\n            emi:hasUSI ""mzspec:MSV000087728:VGF153_A02_features_ms2_neg.mgf:scan:356"" ."		http://www.w3.org/2001/XMLSchema#string	
https://w3id.org/emi#hasZodiacScore	has zodiac score	http://www.w3.org/2002/07/owl#DatatypeProperty				https://w3id.org/emi#StructuralAnnotation	http://www.w3.org/2001/XMLSchema#double	
https://w3id.org/emi#inChIKey	InChIKey value	http://www.w3.org/2002/07/owl#DatatypeProperty		The InChIKey data value, that is a textual representation of chemical structures. This value is composed of 27 characters and it is a condensed digital representation of the InChI.		https://w3id.org/emi#InChIKey	http://www.w3.org/2001/XMLSchema#string	
https://w3id.org/emi#inChIKey2D	InChIKey 2D value	http://www.w3.org/2002/07/owl#DatatypeProperty		The InChIKey 2D data value, that is a textual representation of chemical structures. This value is composed of the first 14 characters of its corresponding InChIKey of 27 character fixed length.		https://w3id.org/emi#InChIKey2D	http://www.w3.org/2001/XMLSchema#string	
https://w3id.org/emi#inTaxon	found in taxon	http://www.w3.org/2002/07/owl#ObjectProperty						
https://w3id.org/emi#isClassifiedWith	is classified with	http://www.w3.org/2002/07/owl#ObjectProperty		It is used to classify any individidual with an external controlled-vocabulary in case rdf:type is not the most suitable solution.	@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n@prefix npc: <https://w3id.org/emi/npc#> .\n:CANOPUS-mzspec%3AMSV000087728%3AVGF147_E06_features_ms2_neg.mgf%3Ascan%3A45 rdf:type emi:ChemicalTaxonAnnotation ;\n            emi:isClassifiedWith npc:CADINANE_SESQUITERPENOIDS .			
https://w3id.org/emi#isInChIKey2DOf	is InChIKey2D of	http://www.w3.org/2002/07/owl#ObjectProperty		It can be used to assign an InChIKey2D to an InChIKey that represents a chemical structure.	"@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n@prefix wd: <http://www.wikidata.org/entity/> .\n:ZCCLDKGWJIREQF-PDBXOOCHSA-N rdf:type emi:InChIKey2D ;\n            emi:isInChIKey2DOf :ZCCLDKGWJIREQF ;\n            rdfs:label ""ZCCLDKGWJIREQF"" .\n:ZCCLDKGWJIREQF-PDBXOOCHSA-N rdf:type emi:InChIKey. "	https://w3id.org/emi#InChIKey2D	https://w3id.org/emi#InChIKey	
https://w3id.org/emi#isInChIKeyOf	is InChIKey of	http://www.w3.org/2002/07/owl#ObjectProperty			"@prefix : <https://w3id.org/emi/abox#> .\n@prefix emi: <https://w3id.org/emi#> .\n@prefix wd: <http://www.wikidata.org/entity/> .\n@prefix dcterms: < http://purl.org/dc/terms/> .\nwd:Q27145340 rdf:type emi:Chemical ;\n             dcterms:identifier ""Q27145340"" .\n :ZCCLDKGWJIREQF-PDBXOOCHSA-N  emi:isInChIKeyOf wd:Q27145340 . "	https://w3id.org/emi#InChIKey		
https://w3id.org/emi#scientificName	scientific name	http://www.w3.org/2002/07/owl#DatatypeProperty				https://w3id.org/emi#Taxon	http://www.w3.org/2001/XMLSchema#string	
https://w3id.org/emi#spectrumLink	spectrum link	http://www.w3.org/2002/07/owl#DatatypeProperty				https://w3id.org/emi#GNPSConsensusSpectrum	http://www.w3.org/2001/XMLSchema#anyURI	
