ontology	label	description	url	homepage_url	ols_url	ontology_iri	version_iri	last_loaded
gallont	Plant Gall Ontology	Ontology of plant gall phenotypes. Plant galls are novel plant structures, generated by plants in response to biotic stressors. This ontology is used to annotate gall phenotypes (e.g., their colors, textures, sizes, locations on the plant) in a semantic way, in order to facilitate discoveries about the genetic and physiologic mechanisms responsible for such phenotypes. The ontology can also be used as a controlled vocabulary for natural language descriptions of plant galls.	https://adeans.github.io/gallont/	https://adeans.github.io/gallont/	https://www.ebi.ac.uk/ols4/ontologies/gallont	gallont	http://purl.obolibrary.org/obo/gallont/releases/2024-04-19/gallont.owl	2026-03-01T04:42:23.381688563
gaz	Gazetteer	A gazetteer constructed on ontological principles. The countries are actively maintained.	http://environmentontology.github.io/gaz/	http://environmentontology.github.io/gaz/	https://www.ebi.ac.uk/ols4/ontologies/gaz	gaz		2026-03-01T04:43:43.902404818
gecko	Genomics Cohorts Knowledge Ontology	An ontology to represent genomics cohort attributes.	https://github.com/IHCC-cohorts/GECKO	https://github.com/IHCC-cohorts/GECKO	https://www.ebi.ac.uk/ols4/ontologies/gecko	gecko	http://purl.obolibrary.org/obo/gecko/releases/2021-01-18/gecko.owl	2026-03-01T04:45:22.158375451
genepio	Genomic Epidemiology Ontology	The Genomic Epidemiology Ontology (GenEpiO) covers vocabulary necessary to identify, document and research foodborne pathogens and associated outbreaks.	http://genepio.org/	http://genepio.org/	https://www.ebi.ac.uk/ols4/ontologies/genepio	genepio	http://purl.obolibrary.org/obo/genepio/releases/2024-12-18/genepio.owl	2026-03-01T04:45:22.608081565
geno	GENO ontology	"GENO is an OWL model of genotypes, their more fundamental sequence components, and links to related biological and experimental entities.  At present many parts of the model are exploratory and set to undergo refactoring.  In addition, many classes and properties have GENO URIs but are place holders for classes that will be imported from an external ontology (e.g. SO, ChEBI, OBI, etc).  Furthermore, ongoing work will implement a model of genotype-to-phenotype associations. This will support description of asserted and inferred relationships between a genotypes, phenotypes, and environments, and the evidence/provenance behind these associations. 

Documentation is under development as well, and for now a slidedeck is available at http://www.slideshare.net/mhb120/brush-icbo-2013"	https://github.com/monarch-initiative/GENO-ontology/	https://github.com/monarch-initiative/GENO-ontology/	https://www.ebi.ac.uk/ols4/ontologies/geno	geno	http://purl.obolibrary.org/obo/geno/releases/2026-02-02/geno.owl	2026-03-01T04:45:23.754771712
geo	Geographical Entity Ontology	An ontology of geographical entities	https://github.com/ufbmi/geographical-entity-ontology/wiki	https://github.com/ufbmi/geographical-entity-ontology/wiki	https://www.ebi.ac.uk/ols4/ontologies/geo	geo		2026-03-01T04:45:23.956658472
gexo	Gene Expression Ontology	Gene Expression Ontology	http://www.semantic-systems-biology.org/apo	http://www.semantic-systems-biology.org/apo	https://www.ebi.ac.uk/ols4/ontologies/gexo	gexo		2026-03-01T05:21:35.505090580
gno	Glycan Naming Ontology	An ontology for glycans based on GlyTouCan, but organized by subsumption.	https://gnome.glyomics.org/	https://gnome.glyomics.org/	https://www.ebi.ac.uk/ols4/ontologies/gno	gno	http://purl.obolibrary.org/obo/gno/2025-10-10/gno.owl	2026-03-01T04:45:38.294538404
go	Gene Ontology	The Gene Ontology (GO) provides a framework and set of concepts for describing the functions of gene products from all organisms.	http://geneontology.org/	http://geneontology.org/	https://www.ebi.ac.uk/ols4/ontologies/go	go	http://purl.obolibrary.org/obo/go/releases/2026-01-23/extensions/go-plus.ofn	2026-03-01T04:46:18.700980175
gold	gold		https://www.ebi.ac.uk/ols4/ontologies/gold		https://www.ebi.ac.uk/ols4/ontologies/gold	gold		2026-03-01T05:10:22.633440879
gscmixs	Minimum Information about any (x) Sequence (MIxS) standard	An OWL representation of the Minimum Information for any (x) Standard (MIxS), managed by the Genomic Standards Consortium. This file is released by the Genomic Standards Consortium (GSC; https://www.gensc.org/) for use by anyone handling data or information about biological sequences.	https://w3id.org/mixs	https://w3id.org/mixs	https://www.ebi.ac.uk/ols4/ontologies/gscmixs	gscmixs		2026-03-01T05:27:43.639594179
gsso	GSSO - the Gender, Sex, and Sexual Orientation ontology	GSSO is the Gender, Sex, and Sex Orientation ontology, including terms related to gender identity and expression, sexual and romantic identity and orientation, and sexual and reproductive behavior.	https://gsso.research.cchmc.org/	https://gsso.research.cchmc.org/	https://www.ebi.ac.uk/ols4/ontologies/gsso	gsso	http://purl.obolibrary.org/obo/gsso/releases/2.0.5/gsso.owl	2026-03-01T05:08:39.334276504
hancestro	Human Ancestry Ontology	Human ancestry ontology for the NHGRI GWAS Catalog	https://ebispot.github.io/hancestro/	https://ebispot.github.io/hancestro/	https://www.ebi.ac.uk/ols4/ontologies/hancestro	hancestro	http://purl.obolibrary.org/obo/hancestro/releases/2025-10-14/hancestro.owl	2026-03-01T04:46:41.611861159
hao	Hymenoptera Anatomy Ontology	A structured controlled vocabulary of the anatomy of the Hymenoptera (bees, wasps, and ants)	http://hymao.org	http://hymao.org	https://www.ebi.ac.uk/ols4/ontologies/hao	hao	http://purl.obolibrary.org/obo/hao/2023-06-01/hao.owl	2026-03-01T04:46:42.229889611
